Year,Movie,Song,Singer,Composer
1931,Alam Ara,De De Khuda Ke Naam Pe Pyaare,Wazir Muhammad Khan,Firozshah Mistry
1931,Alam Ara,Badla Dilwayega Yaar Ab Tu Sitamgaroon Se,-,Firozshah Mistry
1931,Alam Ara,Rootha Hai Aasmaan,-,Firozshah Mistry
1931,Alam Ara,Teri Kateelee Nigaahon Ne Mara,-,Firozshah Mistry
1931,Alam Ara,De Dil Ko Aaram Aey Saaki Gulfaam,-,Firozshah Mistry
1931,Alam Ara,Bhar Bhar Ke Jaam Pila Ja,-,Firozshah Mistry
1931,Alam Ara,Daras Bin Morey Hain Tarse Nayna Pyare,-,Firozshah Mistry
1931,Draupadi,Anokhi Jaadu Bhari Mri Kaisi Hai Paase Ki Chaal,Hadi,
1931,Draupadi,Bhagat Ke Bas Mein Hai Bhagwan,Khalil,
1931,Draupadi,Bhaj Krishan Kanhaiya Paar Kare Meri Naiya,,
1931,Draupadi,Do Din Ka Mehmaan Arre Kyun Murkh Mann Bhatkave,Jilloobai,
1931,Draupadi,Gaavein Manaavein Aanad Hum Mil Kar Saari,Chorus,
1931,Draupadi,Jis Main Apni Nazar Se Dekhoon,Ermeline,
1931,Draupadi,Kanhaiya Aao Re Dhaao Re,Ermeline,
1931,Draupadi,Laaj Rakhe Dinanath Jagat Mein,Ermeline,
1931,Draupadi,Main Toh Shakuni Kumar Hoon Matlab Ka Yaar Hoon,Hadi,
1931,Draupadi,Mujh Mein Kaisi Badi Karamaat Hai,,
1931,Draupadi,Nayanwa Khol Maharaj Atal Rahe Tero Raj,Hadi,
1933,Puran Bhagat,Din Neeke Beete Jaate Hain,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Avsar beeto jaat praani,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Raadhe Raani De Daaro Naa Bansari Mori Re,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Bhaju Main To Bhaav Se Shiri Giridhari,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Jaavo Jaavo E Mere Saadhu,K. C. Dey,R. C. Boral
1933,Puran Bhagat,Kya Kaaran Hai Ab Rone Kaa,K. C. Dey,R. C. Boral
1933,Yahudi Ki Ladki,Ye Tasarruf Allah Allah Tere Maikhane Mein Hai,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Lag Gayi Chot Karejwa Mein,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Lakh Sahi Hain Pi Ki Batiyan,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Nuktacheen Hai Ghame-Dil,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Ab Shaad Hai Dil,Utpala Sen,Pankaj Mullick
1934,Amrit Manthan,Kamsini Main Dil Pe Gham,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Raat Aai Hai,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Dekho Dekho,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Taro Mori Bipta',Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Arzoo-E-Dil Aayaaan Karne Se,,Keshavrao Bhole
1934,Amrit Manthan,Andheri Ab Beeti Saadho Vipada Ki Raat,,Keshavrao Bhole
1934,Amrit Manthan,Jayati Jai Ambike,,Keshavrao Bhole
1934,Amrit Manthan,Sakhi Ri Shyam,Vasant Desai,Keshavrao Bhole
1934,Amrit Manthan,Soinri Pyash Bhagi,,Keshavrao Bhole
1934,Amrit Manthan,Aurat Ka Dukh Haro Devi Durga,,Keshavrao Bhole
1934,Amrit Manthan,Abla Hai Buri Bala,,Keshavrao Bhole
1934,Amrit Manthan,Banwa Ki Chhavi,,Keshavrao Bhole
1934,Amrit Manthan,Jiya Mora Na Bisaare,,Keshavrao Bhole
1934,Chandidas,Tadpat Beete Din Rain,K. L. Saigal,R. C. Boral
1934,Chandidas,Prem Nagar Mein Banaooingi Ghar Main,"Saigal, Uma Sashi",R. C. Boral
1934,Chandidas,Prem Ki Ho Jai Jai,"Saigal, Pahadi Sanyal, Uma Shashi",R. C. Boral
1934,Chandidas,Prem Ka Pujaari,K. L. Saigal,R. C. Boral
1934,Chandidas,Basant Ritu Aayi Aali,Uma Sashi,R. C. Boral
1934,Grihalaxmi,Aao Aaoji Garwa Lagao Saiyan,Kamla,S. P. Rane
1934,Grihalaxmi,Bhagwan Karega Madad Teri,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Baaki Hai Aankh Jab Tak Dekha Karenge Tujhko,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Chanchala Chapal Chit Ki Hai Lagan,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Chandrika Bane Tu Main Taara,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Dekha Jo Husn-e-Yaar Tabiyat Machal Gayi,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Kat Gayi Kat Gayi Yunhi Meri Saari Umariya,Kamala Devi,S. P. Rane
1934,Grihalaxmi,Khelat Krishna Kanhaiya Hori,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Kyun Nahin Ab Tak Aaye Raah Dekhte Thak Gayi Aankhein,Sabita Devi,S. P. Rane
1934,Grihalaxmi,Na Ranjh Kar Badnaseeb Bharat,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Niradhaar Hun Daataar Ab Toh Tum,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Suratiya Nahin Bhule Ri Kaise Dharoon Man Dhir,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Teri Khatir Ajab Rang Jama Rakha Hai,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Wah Rang-o-Bu Kahan hai Uff Kya Se Kya Hua,Sabita Devi,S. P. Rane
1934,Grihalaxmi,"Paahimam, Paahimam, Natwar Ghanshyam",K. C. Dey,S. P. Rane
1934,Grihalaxmi,Kshama Karo Devi Meri Bhool Sumati Aayi,Jal Merchant,S. P. Rane
1935,Chandrasena,Kaisi Manohar hai Maaya Prachalit Chhaya Sansar Saara,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Bhootnath Bhakton Ka Sada Ubaara,,Keshavrao Bhole
1935,Chandrasena,Madira Chhalkan Laagi Gore Gore Haathon Se Paani,Rajni,Keshavrao Bhole
1935,Chandrasena,Abla Ki Pukar Suno Bhagwan Mere Ram Prabhu,Nalini Tarkhud,Keshavrao Bhole
1935,Chandrasena,Jai Jai Jagdish Ish Sharan Main Tihari,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Chori Chori Nahin Yeh Kamaal Hai,Buwa Saheb,Keshavrao Bhole
1935,Chandrasena,Matwari Mori Yaad Vhandrasena Meri Yaad Nahin,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Sura Pi Lo Swarg Ghar Ho Jaana,,Keshavrao Bhole
1935,Chandrasena,Pee Lo Pee Lo Surahi Main Naav Ki,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Pal Chhin Laagi Lagan Tori,Nalini Tarkhud,Keshavrao Bhole
1935,Chandrasena,Rangili Raswali Phoolon Ki Behti Laali,Rajni,Keshavrao Bhole
1935,Chandrasena,Nek Thehr More Mann Aas Khaaye Bawre Aali,Rajni,Keshavrao Bhole
1935,Dharmatma,Aaj Bhaag Jaag Gaye Logo Hamare,Vasant Desai,Master Krishnarao
1935,Dharmatma,Vharan Kamal Mein Prabhu Ke Maath Namaun Aaj,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Hai Boli Amrut Si Ma Ke Naam Ke Jaadu Se Sab,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Dhanya Dhanya Naaro Jaati,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Kaana Re Aa Zara Misri Maakhan Khaaye,Vasanti,Master Krishnarao
1935,Dharmatma,Jan Pyare Sab Tumhe Ek Si Nazar Hai Din Nath Ki,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Kaise Bayan Karun Prabho Kya Kya Badhai Aapki,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Prabhu Sahare Ek Tumhi Ho Laaj Tumhare Haath Hai,Bal Gandharva,Master Krishnarao
